-1.25E-03	-1.00E-02	0
0.04375	-0.2175	0
0.22	-0.39875	0
0.5275	-0.55625	0
1.035	-0.7275	0
1.9475	-0.93625	0
3.4175	-1.15375	0
5.19125	-1.3275	0
7.05375	-1.45375	0
8.96	-1.54	0
10.88125	-1.6	0
12.81625	-1.63875	0
14.75125	-1.66375	0
16.6975	-1.67625	0
18.65375	-1.67875	0
20.60875	-1.67125	0
22.57	-1.6575	0
24.52875	-1.6375	0
26.49125	-1.6125	0
28.45125	-1.58375	0
30.42125	-1.55	0
32.3825	-1.51375	0
34.35125	-1.4725	0
36.3175	-1.43	0
38.28125	-1.38625	0
40.2475	-1.34	0
42.215	-1.29125	0
44.17625	-1.2425	0
46.12625	-1.19125	0
48.08	-1.1425	0
50.04125	-1.09	0
52.00125	-1.03625	0
53.96875	-0.98375	0
55.93875	-0.93125	0
57.90875	-0.87875	0
59.87875	-0.825	0
61.845	-0.7725	0
63.81125	-0.72	0
65.77875	-0.67	0
67.745	-0.6175	0
69.71375	-0.56875	0
71.68625	-0.51875	0
73.6525	-0.47125	0
75.60625	-0.42875	0
77.56875	-0.3825	0
79.53625	-0.33875	0
81.5075	-0.29875	0
83.47875	-0.25875	0
85.44875	-0.2225	0
87.42125	-0.185	0
89.39125	-0.1475	0
91.35625	-0.10875	0
93.31375	-0.07125	0
95.265	-0.035	0
97.21125	0	0
99.155	0.0325	0
101.1	0.0625	0
103.0475	0.08875	0
105.00375	0.11125	0
106.9725	0.13	0
108.9325	0.1425	0
110.8875	0.1475	0
112.83625	0.14875	0
114.77125	0.14	0
116.72	0.1275	0
118.66625	0.1075	0
120.6075	0.08	0
122.5025	0.0425	0
124.19125	0	0
125	-0.025	0
